微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
KdqXvEvK7,【#黑猩猩酷爱洗衣服被评劳模#，网友：比我男朋友还勤快】4月30日，重庆一主题公园，一只黑猩猩因酷爱洗衣服被评为“动物界劳模”。这只名叫渝辉的黑猩猩每次看到饲养员洗衣服都十分兴奋，还爱看书看报，被网友称为“暖男”。公园为它颁发了定制版荣誉证书，还准备了丰厚的美食。时间视频的微博视频  ,,无,"http://f.video.weibocdn.com/gmAy09iWlx07MjrHbemY01041200qZGz0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1619846618&ssig=nq9Ben%2FSNu&KID=unistore,video",无,2021-05-01 12:20,微博视频号,735,61,142
KdqJYba35,【#劳动节版你笑起来真好看#】生活中，哪一种笑最打动人？今天，向劳动者致敬！#让劳动者上热搜#  人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/gRBWg1U2lx07MjvqNk5y01041200HmLg0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1619846618&ssig=8kryRq1zax&KID=unistore,video",无,2021-05-01 11:46,微博视频号,1958,292,268
Kdqwa6xwH,【周知！#多部门发布五一假期提示#】①#五一期间仍可接种疫苗#，全国疫苗接种工作“不打烊”；②乘坐公共交通全程佩戴口罩；③“五一”假期景区全面实施门票预约制；④提倡错峰出行，提前做好行程规划；⑤如旅行中出现健康异常，就地诊治…#五一假期的9个健康提示#↓↓转给你关心的TA！  [组图共9张] 原图 ,,"http://ww1.sinaimg.cn/large/0033ImPzly1gq2r6m09erj60m80prax002.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq2r6lulazj60m80u81kx02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq2r6msqroj60m80psnkq02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq2r6nbvzrj60m80lxkcp02.jpg,http://ww1.sinaimg.cn/large/0033ImPzly1gq2r6o1yy2j60m80mne2y02.jpg,http://ww4.sinaimg.cn/large/0033ImPzly1gq2r6lgse7j60m80oawy502.jpg,http://ww3.sinaimg.cn/large/0033ImPzly1gq2r6m3gkyj60m80oxawj02.jpg,http://ww1.sinaimg.cn/large/0033ImPzly1gq2r6mc8nej60m80roqs302.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq2r6msshej60m80rbty202.jpg",无,无,2021-05-01 11:13,微博 weibo.com,1068,211,206
Kdqeq0G2h,【#江苏南通大风致11死102伤#】据@南通发布，4月30日18时至22时，江苏南通部分地区出现冰雹和大范围强雷暴大风天气。截至目前，受灾人口3000余人，其中因大树倒伏砸倒房屋、电线杆刮断、狂风巻入河道等原因，造成11人死亡，因灾受伤人口102人。苏海门渔01728倾覆，11名船员落水，2人已成功获救，9人仍在紧张搜救中。江苏新闻的微博视频                                 ,,无,"http://f.video.weibocdn.com/O21RAQcllx07MiGgs2rC010412004PD40E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1619846622&ssig=7F8QA9fekJ&KID=unistore,video",无,2021-05-01 10:29,微博视频号,42295,2445,2887
Kdq6O8MBy,【正在直播：#与一线劳动者一起现场作业#】5月1日，国际劳动节，@人民日报 联合天目新闻，多路联动，与铁路维修工、黄山风景区挑夫、公路养护人员一起现场作业，向不同工种的一线劳动者致敬！戳直播↓↓#让劳动者上热搜#！ 人民日报的微博视频  ,,无,"http://live.video.weibocdn.com/4631985504387881_index.m3u8?Expires=1619846622&ssig=5HX%2FYwMDfj&KID=unistore,video",无,2021-05-01 10:10,微博原生直播,4121,157,404
Kdq3t0rBv,【#王进喜珍贵原声首次公开#：要当一辈子老黄牛！】“我们国家有一个大庆，还仅仅是不够啊，要艰苦奋斗一辈子，要当一辈子老黄牛！”这是1966年2月，王进喜在全国工业交通工作会议上讲话的原声录音。王进喜作为新中国第一批石油钻探工人，率众用身体搅拌泥浆的画面感动无数人。#王进喜实况录音首次公开#央视频的微博视频                                 ,,无,"http://f.video.weibocdn.com/0IVyp5W4lx07Mjg4mBjO01041200disu0E010.mp4?label=mp4_hd&template=652x480.25.0&trans_finger=d8257cc71422c9ad30fe69ce9523c87b&Expires=1619846625&ssig=2QC9joYCbq&KID=unistore,video",无,2021-05-01 10:02,微博视频号,3736,435,527
KdpTV4QUy,【搜狗输入法、高德地图被点名！#33款App违规收集个人信息被通报#】国家互联网信息办公室1日通报，搜狗输入法、讯飞输入法、百度输入法、高德地图、百度地图、腾讯地图等32款App违反必要原则，收集与其提供的服务无关的个人信息，即时通信类App连信诱导用户授权其读取通讯录并向联系人发送营销短信↓↓...全文 [组图共3张] 原图 ,,"http://ww2.sinaimg.cn/large/0033ImPzly1gq2og0cv0lj60fg0yke1502.jpg,http://ww1.sinaimg.cn/large/0033ImPzly1gq2og0itzij60fg15faza02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq2ofzesq5j60fg03s76702.jpg",无,无,2021-05-01 09:39,微博 weibo.com,9291,551,800
KdpMz8bnD,【#假期去海边不要食用海虹#！#秦皇岛发布禁食海虹预警#】4月30日，秦皇岛市海洋和渔业局发布预警：从3月下旬开始，海虹体内麻痹性贝类毒素含量逐渐升高，现正处于上升期。近期检测结果显示，海虹麻痹性贝类毒素含量已超出安全限量标准2倍以上，如果食用极易引起中毒，严重的会导致呼吸停止。近期不要采集、买卖、食用海虹。转扩！             [组图共2张]      原图                             ,,"http://ww4.sinaimg.cn/large/0033ImPzly1gq2ntwglppj611p0u047u02.jpg,http://ww2.sinaimg.cn/large/0033ImPzly1gq2o0orxvvj60ot0f7go102.jpg",无,无,2021-05-01 09:21,微博 weibo.com,25369,1765,2146
KdptbENLm,【#百年劳动者面孔混剪#：致敬每一位奋斗者】#中国共产党100周年#之际，回望奋斗史，在田间地头、工厂车间、科研一线，从“创业”之初的手提肩扛，到永不褪色的“铁人精神”；从外卖员的忙碌身影，到航天人的探索创新…这是一代代劳动者奋力奔跑的画面↓↓今天，五一劳动节，#让劳动者上热搜#。  人民日报的微博视频                                 ,,无,"http://f.video.weibocdn.com/QizLUVF1lx07Mji6vH6U01041200u2zk0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1619846648&ssig=ASThL%2FnwiC&KID=unistore,video",无,2021-05-01 08:33,微博视频号,4990,2019,1237
Kdpk4prl7,【#人民日报五一社论#：在新征程上铸就新的历史伟业】劳动是一切幸福的源泉，奋斗成就伟大梦想。在新征程上铸就新的历史伟业，我们要大力弘扬劳模精神、劳动精神、工匠精神，要努力建设高素质劳动大军，要切实实现好、维护好、发展好劳动者合法权益。只有充分发挥工人阶级和广大劳动群众主力军作用，崇...全文 ,,无,无,无,2021-05-01 08:10,微博 weibo.com,2148,559,335
